EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
55,3,47,7,8,KGID100054,Nagaraj Hiremath,1987-12-06,1,7,0,1999-08-19
56,3,47,11,8,KGID100055,Krishna Nayak,1983-07-26,1,3,0,2023-11-04
57,3,47,11,8,KGID100056,Nagaraj Iyer,1992-12-20,1,7,0,2020-05-25
58,3,47,11,8,KGID100057,Girish Nayak,1984-11-12,1,1,0,2011-03-16
59,4,80,5,8,KGID100058,Jayashree Patil,1987-04-19,2,6,0,2011-07-03
60,4,80,6,8,KGID100059,Dinesh Achar,1987-08-10,1,6,0,2007-08-01
61,4,80,6,8,KGID100060,Mahesh Poojary,1981-04-03,1,3,0,2019-09-27
62,4,80,7,8,KGID100061,Raghavendra Devaraj,1986-06-17,1,4,0,2007-01-06
63,4,80,7,8,KGID100062,Ramesh Kulkarni,1977-03-08,1,8,0,2003-07-27
64,4,80,7,8,KGID100063,Dinesh Patil,1979-05-15,1,5,0,1998-10-14
65,4,80,7,8,KGID100064,Sandeep Hegde,1975-03-02,1,5,0,2013-11-18
66,4,80,11,8,KGID100065,Santosh Desai,1994-10-25,1,2,0,2023-12-10
67,4,80,11,8,KGID100066,Yogesh Poojary,1980-03-23,1,4,0,2017-06-21
68,4,80,11,8,KGID100067,Naveen Hiremath,2000-11-13,1,8,0,2010-09-15
69,5,98,5,8,KGID100068,Rajesh Kulkarni,1980-11-10,1,6,0,1994-11-02
70,5,98,6,8,KGID100069,Mahesh Jadhav,1976-03-05,1,8,0,1997-04-25
71,5,98,7,8,KGID100070,Sandeep Nayak,1980-05-26,1,8,0,2015-08-31
72,5,98,7,8,KGID100071,Santosh Nayak,1987-05-30,1,6,0,2021-08-09
73,5,98,7,8,KGID100072,Santosh Poojary,1978-12-02,1,3,0,2019-10-18
74,5,98,11,8,KGID100073,Anand Kulkarni,1998-06-09,1,7,0,2010-07-20
75,5,98,11,8,KGID100074,Umesh Bhandari,1987-06-25,1,7,0,2005-12-27
76,5,98,11,8,KGID100075,Anand Jadhav,1989-08-10,1,4,0,2011-06-05
77,6,125,5,8,KGID100076,Chandrashekar Iyer,1979-06-03,1,7,0,1992-12-26
78,6,125,6,8,KGID100077,Ravi Poojary,1976-11-08,1,1,0,2004-04-08
79,6,125,7,8,KGID100078,Anitha Naik,1982-11-03,2,5,0,1996-05-17
80,6,125,7,8,KGID100079,Pradeep Poojary,1989-05-22,1,5,0,2013-07-16
81,6,125,7,8,KGID100080,Yogesh Gowda,1982-09-04,1,1,0,1997-11-28
82,6,125,11,8,KGID100081,Pradeep Naik,1989-09-17,1,1,0,2003-12-03
83,6,125,11,8,KGID100082,Santosh Reddy,1994-12-29,1,8,0,2004-10-20
84,6,125,11,8,KGID100083,Pradeep Bhat,1982-09-22,1,3,0,2009-08-27
85,7,147,5,8,KGID100084,Gopal Gowda,1984-10-19,1,5,0,2004-11-12
86,7,147,6,8,KGID100085,Manjunath Bhandari,1978-06-23,1,4,0,1993-09-30
87,7,147,7,8,KGID100086,Rajesh Bhandari,1986-01-25,1,1,0,2004-11-06
88,7,147,7,8,KGID100087,Vijay Iyer,1982-02-07,1,1,0,2012-11-30
89,7,147,7,8,KGID100088,Harish Kulkarni,1980-11-18,1,3,0,2010-07-04
90,7,147,7,8,KGID100089,Pallavi Kulkarni,1979-02-13,2,7,0,2015-04-04
91,7,147,11,8,KGID100090,Sandeep Patil,1982-08-27,1,5,0,2013-09-01
92,7,147,11,8,KGID100091,Shivakumar Gowda,1993-05-16,1,8,0,2005-06-26
93,8,165,5,8,KGID100092,Vani Iyer,1982-05-07,2,5,0,2010-07-08
94,8,165,6,8,KGID100093,Girish Patil,1982-04-02,1,4,0,2023-04-13
95,8,165,7,8,KGID100094,Kiran Desai,1980-04-02,1,8,0,1999-09-07
96,8,165,7,8,KGID100095,Chandrashekar Hegde,1995-11-22,1,5,0,2014-09-13
97,8,165,7,8,KGID100096,Nagaraj Achar,1984-05-13,1,6,0,2006-04-10
98,8,165,7,8,KGID100097,Santosh Kumar,1981-08-26,1,4,0,2014-08-29
99,8,165,11,8,KGID100098,Pushpa Desai,1983-01-23,2,5,0,2018-09-27
100,8,165,11,8,KGID100099,Sandeep Shetty,1984-03-11,1,5,0,2014-11-14
101,8,165,11,8,KGID100100,Basavaraj Nayak,1995-08-07,1,1,0,2023-04-04
102,9,182,5,8,KGID100101,Prakash Gowda,1970-08-18,1,5,0,2015-04-28
103,9,182,6,8,KGID100102,Vinay Desai,1976-07-22,1,2,0,2018-12-08
104,9,182,6,8,KGID100103,Harish Naik,1978-05-06,1,3,0,2021-03-13
105,9,182,7,8,KGID100104,Kavya Jadhav,1977-08-10,2,7,0,2021-08-28
106,9,182,7,8,KGID100105,Chandrashekar Kulkarni,1976-09-19,1,8,0,1999-04-16
107,9,182,7,8,KGID100106,Srinivas Naik,1977-06-07,1,2,0,2014-03-19
108,9,182,11,8,KGID100107,Dinesh Patil,1994-02-22,1,3,0,2017-08-21
109,9,182,11,8,KGID100108,Mahesh Kulkarni,1983-12-04,1,8,0,2019-01-02
110,10,203,5,8,KGID100109,Manjunath Hegde,1980-08-17,1,5,0,2005-05-19
111,10,203,6,8,KGID100110,Santosh Reddy,1984-06-07,1,5,0,2020-03-30
112,10,203,6,8,KGID100111,Srinivas Bhandari,1988-12-10,1,5,0,2018-07-30
113,10,203,7,8,KGID100112,Vinay Hiremath,1981-01-24,1,8,0,2014-06-12
114,10,203,7,8,KGID100113,Manoj Iyer,1976-12-23,1,5,0,1995-06-02
115,10,203,7,8,KGID100114,Gopal Gowda,1988-01-30,1,5,0,1997-03-20
116,10,203,7,8,KGID100115,Lokesh Nayak,1990-05-14,1,3,0,2007-05-25
117,10,203,11,8,KGID100116,Yogesh Bhat,1987-02-19,1,7,0,2008-11-20
118,10,203,11,8,KGID100117,Kiran Desai,1997-10-17,1,5,0,2013-06-08
119,11,218,5,8,KGID100118,Manjunath Iyer,1975-04-07,1,5,0,2021-05-15
120,11,218,6,8,KGID100119,Dinesh Jadhav,1978-04-24,1,8,0,1998-01-08
121,11,218,6,8,KGID100120,Harish Kulkarni,1984-04-20,1,1,0,2012-04-24
122,11,218,7,8,KGID100121,Krishna Desai,1978-11-06,1,2,0,2014-05-25
123,11,218,7,8,KGID100122,Kiran Rao,1975-03-08,1,5,0,1998-09-08
124,11,218,11,8,KGID100123,Sandeep Kumar,1983-06-17,1,8,0,2021-09-09
125,11,218,11,8,KGID100124,Vijay Nayak,1980-10-25,1,7,0,2008-08-09
126,11,218,11,8,KGID100125,Basavaraj Poojary,1985-09-08,1,4,0,2009-03-29
127,12,248,5,8,KGID100126,Pradeep Achar,1971-11-06,1,6,0,2019-08-15
128,12,248,6,8,KGID100127,Raghavendra Devaraj,1974-08-30,1,8,0,1998-01-07
129,12,248,7,8,KGID100128,Shivakumar Jadhav,1981-04-11,1,7,0,2008-07-13
130,12,248,7,8,KGID100129,Gopal Poojary,1985-10-06,1,4,0,2001-09-07
131,12,248,7,8,KGID100130,Kiran Poojary,1982-12-20,1,7,0,2013-05-07
132,12,248,11,8,KGID100131,Basavaraj Hiremath,1980-10-26,1,6,0,2008-12-18
133,12,248,11,8,KGID100132,Ravi Reddy,1986-11-20,1,7,0,2007-05-18
134,13,270,5,8,KGID100133,Shivakumar Kamath,1983-12-04,1,7,0,1993-08-27
135,13,270,6,8,KGID100134,Savitri Iyer,1980-02-01,2,8,0,1996-04-10
136,13,270,6,8,KGID100135,Harish Devaraj,1989-02-27,1,4,0,2021-09-04
137,13,270,7,8,KGID100136,Ramesh Rao,1982-11-22,1,5,0,1999-11-18
138,13,270,7,8,KGID100137,Raghavendra Bhat,1994-07-26,1,6,0,1998-12-11
139,13,270,7,8,KGID100138,Dinesh Rao,1988-04-13,1,3,0,2010-03-22
140,13,270,7,8,KGID100139,Yogesh Bhandari,1976-07-01,1,3,0,2004-09-05
141,13,270,11,8,KGID100140,Lakshmi Kulkarni,1980-09-03,2,5,0,2009-08-28
142,13,270,11,8,KGID100141,Gopal Devaraj,1995-12-02,1,7,0,2009-07-13
143,13,270,11,8,KGID100142,Umesh Desai,1986-08-09,1,2,0,2017-06-21
144,14,284,5,8,KGID100143,Ravi Poojary,1976-03-24,1,5,1,2005-08-08
145,14,284,6,8,KGID100144,Sandeep Devaraj,1989-03-05,1,4,0,2000-04-28
146,14,284,7,8,KGID100145,Srinivas Nayak,1984-09-20,1,3,0,2003-10-02
147,14,284,7,8,KGID100146,Rajesh Kulkarni,1975-02-17,1,1,0,2022-07-28
148,14,284,7,8,KGID100147,Manoj Achar,1991-11-24,1,3,0,2014-07-21
149,14,284,11,8,KGID100148,Lokesh Nayak,1983-07-08,1,3,0,2007-04-25
150,14,284,11,8,KGID100149,Rajesh Kumar,1985-08-12,1,8,0,2000-07-18
151,14,284,11,8,KGID100150,Umesh Jadhav,1996-09-14,1,6,0,2002-06-18
152,15,304,5,8,KGID100151,Prakash Kulkarni,1976-01-06,1,6,0,2007-04-07
153,15,304,6,8,KGID100152,Kavya Hegde,1982-03-18,2,8,0,2011-06-29
154,15,304,6,8,KGID100153,Harish Patil,1973-07-30,1,8,0,1994-09-18
155,15,304,7,8,KGID100154,Shobha Naik,1986-02-12,2,1,0,2010-11-07
156,15,304,7,8,KGID100155,Krishna Jadhav,1980-11-13,1,3,0,2020-09-04
157,15,304,7,8,KGID100156,Mahesh Bhandari,1984-02-02,1,3,0,2000-04-06
158,15,304,7,8,KGID100157,Srinivas Achar,1975-11-24,1,5,0,1997-05-03
159,15,304,11,8,KGID100158,Santosh Bhat,1989-09-20,1,2,0,2009-05-23
160,15,304,11,8,KGID100159,Suresh Poojary,1989-04-06,1,5,0,2003-07-08
161,16,321,5,8,KGID100160,Harish Kamath,1984-05-23,1,1,0,2018-09-17
162,16,321,6,8,KGID100161,Girish Patil,1980-09-09,1,4,0,2019-03-20
163,16,321,6,8,KGID100162,Rajesh Kamath,1983-07-27,1,1,0,1999-10-25
164,16,321,7,8,KGID100163,Rajesh Rao,1991-11-04,1,2,0,2006-08-31
165,16,321,7,8,KGID100164,Rajesh Hegde,1995-11-02,1,6,0,2023-07-03
166,16,321,11,8,KGID100165,Vijay Kumar,1992-12-13,1,2,0,2019-06-02
167,16,321,11,8,KGID100166,Nagaveni Hiremath,1989-04-22,2,4,0,2005-11-12
168,16,321,11,8,KGID100167,Ramesh Gowda,1999-02-04,1,1,0,2007-08-05
169,17,335,5,8,KGID100168,Kiran Kulkarni,1975-06-09,1,2,0,2017-04-27
170,17,335,6,8,KGID100169,Basavaraj Nayak,1980-03-06,1,6,0,2019-12-01
171,17,335,7,8,KGID100170,Vijay Kamath,1976-04-16,1,7,0,2014-05-17
172,17,335,7,8,KGID100171,Manoj Shetty,1992-02-08,1,7,0,2003-03-31
173,17,335,7,8,KGID100172,Savitri Achar,1988-06-12,2,2,0,2013-05-17
174,17,335,7,8,KGID100173,Basavaraj Desai,1985-02-04,1,2,0,2015-06-27
175,17,335,11,8,KGID100174,Manoj Bhat,1998-11-21,1,3,0,2010-11-17
176,17,335,11,8,KGID100175,Kavya Achar,1982-03-30,2,6,0,2006-07-22
177,18,353,5,8,KGID100176,Nagaraj Kumar,1974-12-18,1,4,0,2005-07-31
178,18,353,6,8,KGID100177,Nagaraj Jadhav,1975-09-21,1,6,0,1996-11-14
179,18,353,7,8,KGID100178,Umesh Jadhav,1987-03-23,1,1,0,2016-05-29
180,18,353,7,8,KGID100179,Kiran Devaraj,1987-12-27,1,6,0,2018-08-17
181,18,353,11,8,KGID100180,Manjunath Reddy,1995-10-27,1,1,0,2005-06-15
182,18,353,11,8,KGID100181,Ramesh Iyer,1984-09-22,1,3,0,2011-06-05
183,18,353,11,8,KGID100182,Krishna Naik,1990-03-25,1,3,0,2004-11-24
184,19,370,5,8,KGID100183,Nagaveni Achar,1986-01-30,2,8,0,2018-08-17
185,19,370,6,8,KGID100184,Prakash Bhat,1977-08-26,1,7,0,2017-04-16
186,19,370,6,8,KGID100185,Suresh Hegde,1975-04-19,1,7,0,2002-08-03
187,19,370,7,8,KGID100186,Girish Reddy,1995-01-05,1,5,0,2017-08-02
188,19,370,7,8,KGID100187,Naveen Reddy,1993-01-05,1,7,0,2008-05-30
189,19,370,11,8,KGID100188,Manjunath Poojary,1993-04-27,1,1,0,2006-07-09
190,19,370,11,8,KGID100189,Mahesh Bhandari,1986-12-02,1,7,0,2013-03-16
191,19,370,11,8,KGID100190,Ravi Iyer,1987-08-15,1,3,0,2020-06-09
192,20,391,5,8,KGID100191,Mahesh Kumar,1973-01-25,1,4,0,2000-11-23
193,20,391,6,8,KGID100192,Umesh Devaraj,1978-04-19,1,6,0,2021-06-14
194,20,391,7,8,KGID100193,Vijay Hiremath,1990-12-01,1,4,0,2007-11-09
195,20,391,7,8,KGID100194,Radha Kumar,1984-07-15,2,3,0,2000-10-24
196,20,391,7,8,KGID100195,Naveen Desai,1990-03-07,1,8,0,2019-11-26
197,20,391,11,8,KGID100196,Rekha Iyer,1982-05-27,2,6,0,2002-03-24
198,20,391,11,8,KGID100197,Rajesh Nayak,1998-05-12,1,1,0,2009-08-03
199,20,391,11,8,KGID100198,Suresh Naik,1998-08-02,1,6,0,2009-05-19
200,21,412,5,8,KGID100199,Chandrashekar Kulkarni,1985-02-14,1,1,0,2018-04-19
201,21,412,6,8,KGID100200,Vijay Reddy,1984-07-30,1,1,0,2004-05-08
202,21,412,7,8,KGID100201,Suresh Hegde,1985-11-28,1,8,0,2007-10-10
203,21,412,7,8,KGID100202,Nagaraj Bhat,1979-04-20,1,5,0,2004-10-17
204,21,412,11,8,KGID100203,Rajesh Iyer,1990-01-27,1,2,0,2004-12-11
205,21,412,11,8,KGID100204,Vinay Kamath,1983-01-29,1,3,0,2011-08-13
206,21,412,11,8,KGID100205,Raghavendra Poojary,1982-02-06,1,3,0,2019-07-08
207,22,429,5,8,KGID100206,Shobha Hiremath,1985-08-05,2,2,0,1999-07-24
208,22,429,6,8,KGID100207,Nagaraj Devaraj,1977-04-27,1,3,0,2012-12-26
209,22,429,7,8,KGID100208,Basavaraj Reddy,1985-05-07,1,2,0,2017-09-10
210,22,429,7,8,KGID100209,Sandeep Hiremath,1992-04-24,1,1,0,1999-04-07
211,22,429,7,8,KGID100210,Shobha Rao,1976-11-06,2,3,0,2004-06-28
212,22,429,11,8,KGID100211,Suresh Achar,1981-10-19,1,6,0,2000-05-28
213,22,429,11,8,KGID100212,Pradeep Kulkarni,1993-05-26,1,4,0,2004-08-14
214,23,458,5,8,KGID100213,Sowmya Kulkarni,1978-05-17,2,8,0,2011-07-01
215,23,458,6,8,KGID100214,Naveen Shetty,1978-04-30,1,3,0,2007-06-06
216,23,458,6,8,KGID100215,Anand Kumar,1989-02-15,1,2,0,2008-06-29
217,23,458,7,8,KGID100216,Basavaraj Achar,1990-08-23,1,2,0,2009-04-18
218,23,458,7,8,KGID100217,Lokesh Gowda,1988-05-24,1,7,0,1995-07-15
219,23,458,7,8,KGID100218,Manjunath Bhat,1979-07-05,1,4,0,2016-06-20
220,23,458,7,8,KGID100219,Basavaraj Naik,1992-02-11,1,5,0,2013-10-22
221,23,458,11,8,KGID100220,Ramesh Kamath,1985-01-19,1,1,0,2019-05-08
222,23,458,11,8,KGID100221,Anand Kamath,2000-08-28,1,7,0,2017-10-19
223,23,458,11,8,KGID100222,Suresh Hegde,1991-09-10,1,7,0,2014-11-03
224,24,474,5,8,KGID100223,Srinivas Jadhav,1973-12-12,1,1,0,2016-04-23
225,24,474,6,8,KGID100224,Ravi Kamath,1983-10-30,1,6,0,2014-05-30
226,24,474,6,8,KGID100225,Vijay Bhat,1977-10-09,1,2,0,2002-11-25
227,24,474,7,8,KGID100226,Anand Gowda,1978-04-28,1,7,0,1998-04-24
228,24,474,7,8,KGID100227,Vinay Gowda,1994-02-17,1,6,0,2011-06-28
229,24,474,7,8,KGID100228,Pradeep Bhandari,1984-09-09,1,6,0,2000-11-15
230,24,474,11,8,KGID100229,Sandeep Kulkarni,1989-04-05,1,8,0,2013-10-07
231,24,474,11,8,KGID100230,Suresh Devaraj,1996-12-06,1,4,0,2001-05-18
232,25,490,5,8,KGID100231,Vijay Poojary,1981-12-21,1,8,0,2003-08-02
233,25,490,6,8,KGID100232,Umesh Iyer,1984-08-17,1,5,0,2012-12-11
234,25,490,6,8,KGID100233,Manoj Kulkarni,1979-06-03,1,7,0,1995-06-19
235,25,490,7,8,KGID100234,Nagaraj Hiremath,1990-04-30,1,5,0,2001-04-28
236,25,490,7,8,KGID100235,Anand Devaraj,1982-12-02,1,6,0,2010-10-05
237,25,490,11,8,KGID100236,Ramesh Kamath,1990-02-05,1,7,0,2014-08-01
238,25,490,11,8,KGID100237,Manoj Bhat,1986-07-15,1,7,0,2009-12-15
239,25,490,11,8,KGID100238,Nagaraj Hiremath,1999-11-30,1,3,0,2002-06-14
240,26,510,5,8,KGID100239,Basavaraj Patil,1983-03-06,1,4,0,1995-12-23
241,26,510,6,8,KGID100240,Sunita Kamath,1979-07-11,2,3,0,2011-03-21
242,26,510,6,8,KGID100241,Gopal Reddy,1979-07-06,1,6,0,2009-11-27
243,26,510,7,8,KGID100242,Ravi Rao,1975-08-24,1,8,0,2016-11-06
244,26,510,7,8,KGID100243,Kiran Kulkarni,1978-11-13,1,4,0,2015-08-24
245,26,510,7,8,KGID100244,Prakash Reddy,1986-01-20,1,2,0,2008-09-25
246,26,510,11,8,KGID100245,Dinesh Bhat,1986-11-27,1,2,0,2002-07-28
247,26,510,11,8,KGID100246,Roopa Hiremath,1991-08-09,2,4,0,2018-10-06
248,27,530,5,8,KGID100247,Ravi Bhat,1981-11-01,1,6,0,2008-04-28
249,27,530,6,8,KGID100248,Manjunath Devaraj,1973-11-08,1,7,0,2004-11-23
250,27,530,6,8,KGID100249,Sandeep Bhandari,1975-04-19,1,2,0,2010-06-10
251,27,530,7,8,KGID100250,Ramesh Hiremath,1985-02-16,1,6,0,2021-05-17
252,27,530,7,8,KGID100251,Pradeep Reddy,1978-02-19,1,7,0,2005-10-05
253,27,530,7,8,KGID100252,Raghavendra Rao,1994-11-06,1,3,0,2007-10-20
254,27,530,11,8,KGID100253,Umesh Patil,1993-07-15,1,5,0,2007-08-14
255,27,530,11,8,KGID100254,Srinivas Jadhav,1983-08-24,1,2,0,2019-08-01
256,27,530,11,8,KGID100255,Naveen Kamath,1995-03-11,1,6,0,2005-10-20
257,28,548,5,8,KGID100256,Harish Bhandari,1986-12-27,1,5,0,2018-12-11
258,28,548,6,8,KGID100257,Yogesh Jadhav,1977-03-02,1,5,0,2003-12-23
259,28,548,7,8,KGID100258,Raghavendra Kulkarni,1986-05-08,1,2,0,2016-06-10
260,28,548,7,8,KGID100259,Ramesh Shetty,1990-05-29,1,6,0,2010-05-03
261,28,548,7,8,KGID100260,Chandrashekar Reddy,1985-07-31,1,6,0,2000-07-15
262,28,548,11,8,KGID100261,Kavya Nayak,1997-07-28,2,8,0,2016-05-10
263,28,548,11,8,KGID100262,Umesh Kamath,1997-12-13,1,7,0,2014-06-22
264,29,565,5,8,KGID100263,Pradeep Rao,1982-07-28,1,8,0,2003-10-02
265,29,565,6,8,KGID100264,Yogesh Gowda,1976-05-02,1,2,0,1995-08-05
266,29,565,6,8,KGID100265,Girish Bhandari,1974-05-24,1,6,0,1993-09-08
267,29,565,7,8,KGID100266,Raghavendra Jadhav,1986-05-02,1,1,0,2004-05-11
268,29,565,7,8,KGID100267,Manoj Bhat,1982-11-04,1,7,0,1995-08-27
269,29,565,7,8,KGID100268,Girish Bhat,1983-12-16,1,5,0,2005-03-25
270,29,565,7,8,KGID100269,Vinay Kamath,1979-05-27,1,2,0,1999-04-02
271,29,565,11,8,KGID100270,Anand Bhat,1997-06-20,1,3,0,2012-07-15
272,29,565,11,8,KGID100271,Suresh Naik,1984-06-19,1,3,0,2007-12-17
273,29,565,11,8,KGID100272,Srinivas Hiremath,1985-04-20,1,3,0,2009-10-21
274,30,581,5,8,KGID100273,Gopal Iyer,1977-10-21,1,8,0,1998-08-08
275,30,581,6,8,KGID100274,Nagaraj Iyer,1981-05-13,1,2,0,1997-12-31
276,30,581,6,8,KGID100275,Srinivas Desai,1981-01-24,1,5,0,2003-12-25
277,30,581,7,8,KGID100276,Gopal Desai,1977-03-23,1,3,0,2016-12-08
278,30,581,7,8,KGID100277,Sunita Bhandari,1976-07-02,2,2,0,2019-09-01
279,30,581,11,8,KGID100278,Mahesh Shetty,1986-08-03,1,7,0,2010-10-20
280,30,581,11,8,KGID100279,Kiran Reddy,1981-05-15,1,4,0,2000-12-07
281,31,596,5,8,KGID100280,Naveen Kulkarni,1972-04-19,1,6,0,1999-08-01
282,31,596,6,8,KGID100281,Santosh Nayak,1982-03-05,1,5,0,2008-09-29
283,31,596,7,8,KGID100282,Kiran Desai,1986-08-16,1,6,0,2001-09-23
284,31,596,7,8,KGID100283,Gopal Jadhav,1978-08-25,1,7,0,2014-11-03
285,31,596,7,8,KGID100284,Raghavendra Naik,1983-07-19,1,5,0,1999-10-26
286,31,596,7,8,KGID100285,Manoj Desai,1993-07-15,1,4,0,2009-08-27
287,31,596,11,8,KGID100286,Basavaraj Kumar,1983-08-26,1,4,0,2006-08-20
288,31,596,11,8,KGID100287,Sunita Kumar,1984-09-17,2,7,0,2003-09-10
289,1,9,8,7,KGID100288,Ravi Jadhav,1978-11-22,1,3,0,2002-10-29
290,1,10,8,7,KGID100289,Pradeep Devaraj,1978-05-13,1,6,0,2003-09-27
291,1,11,8,7,KGID100290,Santosh Jadhav,1992-11-24,1,1,0,2003-03-20
292,1,12,8,7,KGID100291,Lokesh Naik,1988-06-10,1,7,0,1995-10-11
293,2,28,8,7,KGID100292,Ravi Devaraj,1988-08-14,1,2,0,1995-12-21
294,2,29,8,7,KGID100293,Vijay Desai,1983-08-19,1,3,0,2009-04-02
295,3,48,8,7,KGID100294,Shivakumar Rao,1979-08-26,1,8,0,2017-11-07
296,3,49,8,7,KGID100295,Rajesh Devaraj,1989-01-02,1,4,0,2000-07-19
297,3,50,8,7,KGID100296,Shwetha Iyer,1973-06-20,2,2,0,1997-06-04
298,3,51,8,7,KGID100297,Deepa Hegde,1990-10-07,2,1,0,2019-05-04
299,4,81,8,7,KGID100298,Shivakumar Devaraj,1986-05-27,1,1,0,1999-08-25
300,4,82,8,7,KGID100299,Dinesh Kumar,1982-01-22,1,8,0,2016-12-03
301,5,99,8,7,KGID100300,Kavya Devaraj,1981-01-25,2,6,0,2007-07-31
302,5,100,8,7,KGID100301,Ramesh Kamath,1986-11-03,1,6,0,2008-10-19
