VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
100,330,Lakshmi Khan,27,2,0
101,332,Manjula Setty,48,2,0
102,338,Ayesha Naik,8,2,0
103,342,Harish Bhat,50,1,0
104,343,Shwetha Kumar,12,2,0
105,344,Deepak Kumar,26,1,0
106,347,Yashoda Urs,65,2,0
107,350,Gopal D'Souza,17,1,0
108,352,Santosh Iyer,95,1,0
109,357,Vani Rao,44,2,0
110,359,Deepak Poojary,49,1,0
111,362,Puttaswamy D'Souza,67,1,0
112,364,Deepa Iyer,50,2,0
113,368,Pushpa Hegde,45,2,0
114,369,Pushpa Desai,28,2,0
115,371,Radha Kulkarni,36,2,0
116,372,Sheela Fernandes,65,2,0
117,374,Mahesh Bhat,20,1,0
118,377,Sheela Setty,41,2,0
119,378,Lokesh Pinto,65,1,0
120,379,Savitri Hiremath,42,2,0
121,381,Sunita Achar,45,2,0
122,381,Anthony Reddy,34,1,0
123,387,Bhagya Bhandari,15,2,0
124,388,Sunita Shetty,44,2,0
125,393,Savitri Desai,41,2,0
126,395,Girish Bhandari,17,1,0
127,398,Fathima Pinto,51,2,0
128,402,Pallavi Devaraj,38,2,0
129,403,Nandini Prabhu,42,2,0
130,406,Ramesh Hiremath,22,1,0
131,408,Gopal Patil,12,1,0
132,412,Bhagya Hegde,34,2,0
133,414,Shobha Desai,34,2,0
134,415,Sunita Bhat,45,2,0
135,420,Lakshmi Kumar,51,2,0
136,424,Yogesh Kamath,84,1,0
137,425,Ramesh Sheikh,15,1,0
138,428,Salman Hegde,73,1,0
139,428,Basavaraj Kulkarni,58,1,0
140,428,Anthony Kulkarni,18,1,0
141,433,Roopa D'Souza,61,2,0
142,435,Jayashree Desai,32,2,0
143,440,Pradeep Devaraj,57,1,0
144,447,Sunita Kumar,29,2,0
145,451,Prakash Patil,27,1,0
146,452,Sunita Setty,88,2,0
147,453,Xavier Naidu,53,1,0
148,458,Nagaveni Kumar,11,2,0
149,461,Sheela Reddy,28,2,1
150,462,Sheela Reddy,22,2,0
151,469,Nandini Prabhu,40,2,0
152,470,Ibrahim Patil,45,1,0
153,471,Savitri Reddy,14,2,1
154,472,Roopa Kumar,52,2,0
155,476,Sunita Setty,21,2,0
156,478,Imran Rao,46,1,0
157,480,Ratna Prabhu,35,2,0
158,484,Ratna Desai,24,2,0
159,492,Zainab Poojary,11,2,0
160,494,Manjula Sheikh,23,2,0
161,498,Rekha Reddy,47,2,0
162,505,Lakshmi Jadhav,47,2,0
163,507,Nandini Khan,13,2,0
164,509,Geetha Nayak,33,2,0
165,515,Chandrashekar Iyer,56,1,0
166,527,Manjunath Achar,30,1,0
167,529,Ashok Nayak,48,1,0
168,531,Mary Bhandari,24,2,0
169,533,Manjula Fernandes,60,2,0
170,538,Anitha Patil,15,2,0
171,539,Dinesh Kamath,53,1,0
172,544,Anthony Bhat,57,1,0
173,546,Krishna D'Souza,14,1,0
174,549,Santosh Sheikh,22,1,0
175,558,Anthony Hegde,32,1,0
176,560,Geetha Kamath,56,2,0
177,562,Radha Sheikh,19,2,0
178,567,Deepa Rao,36,2,0
179,568,Pushpa Hiremath,29,2,0
180,569,Kiran Fernandes,36,1,0
181,579,Zainab Shetty,23,2,0
182,584,Kamala Achar,9,2,0
183,586,Pallavi Hegde,19,2,0
184,589,Pradeep Fernandes,20,1,0
185,591,Shwetha Bhat,38,2,0
186,592,Yusuf Setty,40,1,0
187,596,Nandini Kulkarni,55,2,0
188,597,John Urs,33,1,0
189,602,Deepa Kulkarni,43,2,0
190,604,Yashoda Hegde,42,2,0
191,605,Sowmya Sheikh,35,2,0
192,607,Krishna Desai,77,1,0
193,612,Vani Sheikh,18,2,0
194,614,Lakshmi Khan,30,2,0
195,615,Ravi Desai,28,1,0
196,617,Radha Rao,36,2,0
197,628,Ibrahim Bhandari,37,1,0
198,629,Abdul Kumar,51,1,0
199,630,Halappa Pinto,14,1,0
200,631,Lakshmi Shetty,16,2,0
201,633,Radha Fernandes,41,2,0
202,637,Santosh Kulkarni,49,1,0
203,639,Sandeep Hegde,26,1,0
204,644,Nagaveni Kulkarni,15,2,0
205,646,Deepa Kamath,56,2,0
206,647,Ayesha Pinto,19,2,0
207,652,Karan Bhat,16,1,0
208,654,Zainab Fernandes,42,2,0
209,658,Shivakumar Khan,93,1,0
210,659,Ayesha Reddy,17,2,0
211,661,Sheela Jadhav,25,2,0
212,663,Rekha Pinto,28,2,0
213,666,Salman Prabhu,41,1,0
214,667,Nandini D'Souza,46,2,0
215,673,Anitha Hiremath,59,2,0
216,674,Shobha Devaraj,17,2,0
217,676,Fathima Setty,13,2,0
218,678,Ashok Kulkarni,31,1,0
219,679,Pallavi Iyer,5,2,0
220,680,Kavya Reddy,46,2,0
221,682,Karan Jadhav,25,1,0
222,684,Deepa Nayak,49,2,0
223,685,Anitha Poojary,18,2,0
224,689,Shobha Jadhav,39,2,0
225,690,Vani Prabhu,22,2,0
226,693,Sheela Fernandes,36,2,0
227,697,Yashoda Nayak,90,2,0
228,701,Bhagya Nayak,63,2,0
229,702,Srinivas Khan,31,1,0
230,704,Karan Pinto,33,1,0
231,709,Ratna Pinto,21,2,0
232,719,Vani Sheikh,11,2,0
233,725,Nagaveni Jadhav,27,2,0
234,729,Manjula Achar,27,2,0
235,730,Ibrahim Kumar,41,1,0
236,733,Mary Patil,34,2,0
237,734,Nirmala Naidu,29,2,0
238,735,Byrappa Devaraj,84,1,0
239,740,Prakash Kulkarni,73,1,0
240,746,Lakshmi Urs,81,2,0
241,747,Deepa Reddy,27,2,0
242,748,Rekha Sheikh,46,2,0
243,751,Vinay Sheikh,35,1,0
244,753,Pallavi Desai,22,2,0
245,754,Ganesh Sheikh,18,1,0
246,755,Mary Gowda,56,2,0
247,756,Shobha Sheikh,83,2,0
248,757,Vijay Pinto,31,1,0
249,758,Rekha Jadhav,67,2,0
250,763,Nagaveni Urs,35,2,0
251,764,Nagaraj Naidu,30,1,0
252,769,Bhagya Bhandari,48,2,0
253,772,Lakshmi Jadhav,30,2,0
254,773,Manoj Fernandes,58,1,0
255,779,Roopa Reddy,18,2,0
256,781,Radha Achar,13,2,0
257,784,Savitri Desai,15,2,0
258,792,Sandeep Khan,81,1,0
259,794,Savitri Setty,39,2,0
260,795,Zainab Urs,27,2,0
261,797,Bhagya Hegde,31,2,0
262,798,Kavya Reddy,13,2,0
263,799,Nandini Khan,27,2,0
264,800,Manjula Reddy,27,2,0
265,802,Anitha Naidu,69,2,0
266,802,Imran Reddy,39,1,0
267,802,Deepa Naidu,31,2,0
268,805,Savitri Pinto,21,2,0
269,811,Ashok Setty,29,1,0
270,815,Geetha Bhat,61,2,0
271,816,Nandini Shetty,17,2,0
272,817,Lakshmi Shetty,26,2,0
273,824,Imran Hegde,38,1,0
274,825,Radha Desai,11,2,0
275,827,Raghavendra Rao,21,1,0
276,827,Rekha Achar,47,2,0
277,828,Sheela Iyer,71,2,0
278,829,Shobha Nayak,34,2,0
279,831,Ratna Reddy,17,2,0
280,836,Kamala Shetty,48,2,0
281,837,Salman Reddy,54,1,1
282,840,Girish Urs,53,1,0
283,843,Sheela Hegde,55,2,0
284,844,Zainab Achar,26,2,0
285,845,Nandini Patil,33,2,0
286,849,Manjunath Khan,36,1,0
287,850,Sunita Naik,34,2,0
288,852,Geetha Naik,66,2,0
289,856,Ganesh D'Souza,51,1,0
290,858,Geetha Rao,52,2,0
291,861,Nandini Fernandes,74,2,0
292,864,Kavya Khan,52,2,0
293,867,Krishna Desai,42,1,0
294,869,Yashoda Shetty,21,2,0
295,876,Geetha Bhat,65,2,0
296,878,Girish D'Souza,48,1,0
297,881,Sheela Kulkarni,19,2,0
298,884,Anitha Reddy,78,2,0
299,886,Manjula Setty,38,2,0
300,888,Deepa Bhandari,58,2,0
301,891,Ayesha Shetty,55,2,0
302,893,Fathima Devaraj,37,2,0
303,895,Halappa Naik,20,1,0
304,898,John Hegde,55,1,0
305,902,Sandeep D'Souza,58,1,0
306,908,Joseph Reddy,23,1,0
307,909,John Jadhav,43,1,0
308,910,Nandini Reddy,33,2,0
309,918,Pushpa Jadhav,19,2,0
310,923,Ibrahim Poojary,25,1,0
311,928,Anitha Kulkarni,14,2,0
312,929,Vani Bhandari,62,2,0
313,932,Manjunath Reddy,4,1,0
314,933,Sheela Khan,40,2,0
315,941,Nandini Pinto,34,2,0
316,947,Nagaveni Pinto,37,2,0
317,948,Xavier Hiremath,42,1,0
318,951,Xavier Hiremath,50,1,0
319,956,Ayesha Kulkarni,39,2,0
320,957,Mahesh Hegde,37,1,0
321,957,Deepa Devaraj,33,2,0
322,957,Suresh Kamath,43,1,0
323,958,Vani Prabhu,38,2,0
324,963,John Sheikh,40,1,0
325,965,Santosh Poojary,55,1,0
326,966,Shwetha Fernandes,34,2,0
327,967,Halappa Iyer,65,1,0
328,969,Nirmala Sheikh,9,2,0
329,981,Sheela Khan,38,2,0
330,982,Sunita Kulkarni,82,2,0
331,982,Ravi Urs,40,1,0
332,988,Ibrahim Patil,21,1,0
333,989,Shivakumar Urs,29,1,0
334,1000,Anitha Reddy,33,2,0
335,1002,Sheela Jadhav,26,2,0
336,1003,Deepak Hiremath,49,1,0
337,1005,Mahesh Desai,36,1,0
338,1014,Chandrashekar Reddy,21,1,0
339,1015,Ayesha Bhat,47,2,0
340,1016,Ratna Poojary,22,2,1
341,1020,Anthony Desai,12,1,0
342,1027,Lakshmi Hiremath,26,2,0
343,1029,Krishna Reddy,31,1,0
344,1029,Harish Nayak,51,1,0
345,1031,Pushpa Naidu,41,2,0
346,1037,Lakshmi Rao,34,2,0
347,1040,Anthony Reddy,33,1,0
348,1043,Anitha Devaraj,36,2,0
349,1045,Ashok Bhat,43,1,0
350,1046,Lakshmi Reddy,19,2,0
351,1047,Ratna Devaraj,34,2,0
352,1052,Mary Pinto,17,2,0
353,1056,Vani D'Souza,8,2,0
354,1060,Deepa Kumar,28,2,0
355,1063,Lakshmi Iyer,44,2,0
356,1064,Muniraju Nayak,30,1,0
357,1072,Yashoda Kumar,26,2,0
358,1076,Kamala Achar,54,2,0
359,1080,Sowmya Reddy,36,2,0
360,1082,Ratna D'Souza,41,2,0
361,1084,Rekha Devaraj,27,2,0
362,1085,Rajesh Naidu,17,1,0
363,1087,Anitha Sheikh,33,2,0
364,1089,Umesh Hiremath,52,1,0
365,1090,Bhagya Patil,26,2,0
366,1092,Manjula Hegde,27,2,0
367,1096,Savitri Achar,17,2,0
368,1098,Basavaraj Pinto,65,1,0
369,1100,Radha Khan,44,2,0
370,1104,Yashoda Naidu,30,2,0
371,1110,Ayesha Hiremath,26,2,0
372,1120,Manjula Hiremath,34,2,0
373,1127,Nagaveni Patil,57,2,0
374,1128,Shwetha Poojary,47,2,0
375,1132,Zainab Jadhav,25,2,0
376,1135,Yashoda Setty,33,2,0
377,1139,Sandeep Shetty,43,1,0
378,1141,Shivakumar D'Souza,17,1,0
379,1144,Pallavi Pinto,27,2,0
380,1145,Geetha Kumar,42,2,0
381,1146,Pallavi Poojary,33,2,0
382,1147,Vani Reddy,59,2,0
383,1155,Ganesh Bhandari,37,1,0
384,1156,Kamala Desai,58,2,0
385,1158,Umesh Pinto,37,1,0
386,1160,Nirmala Gowda,43,2,0
387,1161,Shivakumar Naidu,33,1,0
388,1163,Nagaveni Fernandes,45,2,0
389,1169,Lakshmi Urs,34,2,0
390,1171,Bhagya Urs,20,2,0
391,1177,Nirmala Kamath,33,2,0
392,1179,Deepak Reddy,25,1,0
393,1180,Kamala Jadhav,16,2,0
394,1181,Mary Reddy,47,2,0
395,1183,Radha Hiremath,36,2,0
396,1186,Roopa Hiremath,40,2,0
397,1187,Fathima Bhandari,18,2,0
398,1195,Vinay Achar,58,1,0
399,1203,Rekha Gowda,60,2,0
400,1205,Savitri Fernandes,24,2,0
401,1208,Zainab Kulkarni,34,2,0
402,1212,Shwetha Hegde,95,2,0
403,1213,Bhagya Urs,43,2,0
404,1217,Nagaveni Patil,26,2,0
405,1219,Muniraju Reddy,32,1,0
406,1220,Nirmala Desai,31,2,0
407,1228,Byrappa Kamath,25,1,0
408,1229,Pradeep Reddy,22,1,0
409,1232,Fathima Patil,51,2,0
410,1233,Abdul Patil,27,1,0
411,1235,Radha Iyer,57,2,0
412,1236,Geetha Khan,11,2,0
413,1237,Deepa Naidu,39,2,0
414,1238,Mary Jadhav,45,2,0
415,1240,Byrappa Gowda,52,1,0
416,1241,Kavya Bhandari,39,2,0
417,1247,Gopal Devaraj,46,1,0
418,1250,Raghavendra Setty,32,1,0
419,1253,Raghavendra Urs,36,1,0
420,1254,Sheela Fernandes,16,2,0
421,1259,Dinesh Khan,68,1,0
422,1261,Pallavi Nayak,40,2,0
423,1262,Mahesh Iyer,21,1,0
424,1264,Manjunath Sheikh,51,1,0
425,1269,Shobha Hiremath,46,2,0
426,1271,Yogesh Kumar,39,1,0
427,1272,Vani Devaraj,59,2,0
428,1275,Jayashree Hegde,74,2,0
429,1275,Radha Reddy,28,2,0
430,1275,Mary Jadhav,7,2,0
431,1278,Imran Bhat,17,1,0
432,1279,Sowmya Kamath,32,2,0
433,1281,Jayashree Poojary,46,2,0
434,1293,Kavya Devaraj,50,2,0
435,1294,Sheela Jadhav,21,2,0
436,1295,Geetha Sheikh,40,2,0
437,1298,Shwetha Bhandari,21,2,0
438,1301,Ganesh Desai,37,1,0
439,1304,Kiran Poojary,30,1,0
440,1309,Deepa D'Souza,52,2,0
441,1311,Halappa Achar,55,1,0
442,1316,Pallavi Rao,32,2,0
443,1317,Sandeep Achar,41,1,0
444,1318,Deepa Bhandari,38,2,0
445,1321,Naveen Reddy,41,1,0
446,1323,Bhagya Naik,36,2,0
447,1326,Nagaraj Urs,33,1,0
448,1327,Nandini Iyer,39,2,0
449,1329,Roopa Naik,65,2,0
450,1333,Zainab Kamath,13,2,0
451,1334,Imran Bhandari,30,1,0
452,1335,Umesh Naik,23,1,0
453,1336,Yogesh Rao,61,1,0
454,1340,Basavaraj Pinto,37,1,0
455,1343,Sheela Rao,38,2,0
456,1345,Kamala Pinto,67,2,0
457,1350,Shobha Rao,32,2,0
458,1355,Geetha Nayak,56,2,0
459,1360,Lokesh Kamath,28,1,0
460,1362,Basavaraj Reddy,81,1,0
461,1365,Zainab Hiremath,46,2,0
462,1376,Anthony Gowda,95,1,0
463,1381,John Naidu,33,1,0
464,1382,Sheela Sheikh,38,2,0
465,1384,Imran Kumar,39,1,0
466,1388,Roopa Gowda,36,2,0
467,1391,Shobha Achar,45,2,0
468,1395,Nagaraj Khan,29,1,0
469,1395,Raghavendra Fernandes,20,1,0
470,1397,Deepa Nayak,42,2,0
471,1403,Arjun Naik,39,1,0
472,1404,Channabasappa Hiremath,39,1,0
473,1405,Basavaraj Poojary,22,1,0
474,1408,Kavya Hiremath,32,2,0
475,1412,Karan Bhat,18,1,0
476,1414,Krishna Khan,58,1,0
477,1416,Byrappa Desai,13,1,0
478,1420,Byrappa Jadhav,41,1,0
479,1421,Umesh Bhandari,47,1,0
480,1422,Puttaswamy D'Souza,18,1,0
481,1426,Rekha Bhat,53,2,0
482,1428,Imran Desai,22,1,0
483,1430,Radha Achar,44,2,0
484,1432,Salman Sheikh,48,1,0
485,1436,Anthony Bhandari,56,1,0
486,1438,Nagaraj Naik,17,1,0
487,1442,Roopa Hiremath,51,2,0
488,1452,Basavaraj Setty,47,1,0
489,1457,Ramesh Urs,10,1,0
490,1462,Nirmala Pinto,50,2,0
491,1465,Shwetha Naik,69,2,0
492,1472,Suresh Naik,38,1,0
493,1474,Krishna Jadhav,53,1,0
494,1476,Sheela Naik,17,2,0
495,1480,Rekha Prabhu,25,2,0
496,1486,Sheela Hiremath,55,2,0
497,1487,Ayesha Poojary,11,2,0
498,1490,Lokesh Sheikh,83,1,0
499,1491,Pushpa Kulkarni,27,2,0
500,1492,Kavya Gowda,30,2,0
501,1492,Byrappa Patil,58,1,0
502,1493,Ratna Nayak,43,2,0
503,1503,Sheela Shetty,12,2,0
504,1509,Byrappa Urs,14,1,0
505,1516,Manoj Iyer,17,1,0
506,1517,Naveen Rao,49,1,0
507,1519,Nagaraj Urs,23,1,1
508,1522,Sunita Naik,49,2,0
509,1524,Anand Kulkarni,24,1,0
510,1525,Fathima Poojary,35,2,0
511,1527,Puttaswamy Iyer,38,1,0
512,1530,Zainab Khan,47,2,0
513,1530,Nandini Naidu,44,2,0
514,1534,Nagaraj Urs,44,1,0
515,1536,Deepa Reddy,35,2,0
516,1544,Rekha Kulkarni,41,2,0
517,1547,Mary Bhat,50,2,0
518,1548,Abdul Kumar,48,1,0
519,1550,Rekha D'Souza,32,2,0
520,1551,Puttaswamy Fernandes,28,1,0
521,1552,Zainab Hegde,30,2,0
522,1557,Suresh Desai,26,1,0
523,1563,Nagaraj Setty,49,1,0
524,1565,Roopa Sheikh,19,2,1
525,1566,Anthony Prabhu,70,1,0
526,1572,Vani Achar,20,2,0
527,1573,Vani Pinto,57,2,0
528,1575,Jayashree D'Souza,61,2,0
529,1576,Roopa Prabhu,68,2,0
530,1578,Anitha Nayak,92,2,0
531,1582,Krishna Bhandari,43,1,0
532,1588,Ibrahim Reddy,50,1,0
533,1592,Ayesha Rao,26,2,0
534,1595,Suresh Shetty,15,1,0
535,1596,Imran D'Souza,36,1,0
536,1604,Savitri Sheikh,33,2,0
537,1612,Lakshmi Kumar,29,2,0
538,1614,Rekha Achar,40,2,0
539,1616,Shobha Kumar,28,2,0
540,1620,Roopa Naidu,27,2,0
541,1625,Nandini Reddy,31,2,0
542,1627,Manoj Naidu,48,1,0
543,1630,Kiran D'Souza,33,1,0
544,1633,Puttaswamy Hiremath,44,1,0
545,1634,Rajesh Sheikh,46,1,0
546,1635,Vani Urs,11,2,0
547,1636,Channabasappa Reddy,15,1,0
548,1637,Shobha Naidu,54,2,0
549,1641,Imran Poojary,37,1,0
550,1644,Geetha Naik,34,2,0
551,1645,Zainab Naidu,22,2,0
552,1647,Umesh Kamath,35,1,0
553,1648,Savitri Fernandes,37,2,0
554,1650,Manoj Gowda,34,1,0
555,1653,Ganesh Gowda,60,1,0
556,1654,Arjun Kamath,14,1,0
557,1660,Radha Gowda,37,2,0
558,1663,Ibrahim Kamath,68,1,0
559,1665,Nandini Kulkarni,43,2,0
560,1666,Radha Achar,17,2,0
561,1667,Basavaraj Hegde,75,1,0
562,1668,Manjula Rao,25,2,0
563,1669,Ashok Poojary,58,1,0
564,1671,Shivakumar Desai,46,1,0
565,1676,Pallavi D'Souza,43,2,0
566,1683,Nandini Naik,48,2,0
567,1684,Deepa Naik,12,2,0
568,1686,Deepa Nayak,32,2,0
569,1688,Ratna Urs,20,2,0
570,1694,Arjun Pinto,37,1,0
571,1697,Nirmala Reddy,18,2,0
572,1698,Imran Naik,14,1,0
573,1701,Vani Bhandari,63,2,0
574,1704,Savitri Sheikh,12,2,0
575,1709,Byrappa Setty,32,1,0
576,1715,Srinivas Hegde,33,1,0
577,1727,Rekha Patil,25,2,0
578,1728,Savitri Pinto,35,2,0
579,1733,Gopal Shetty,33,1,0
580,1738,Ratna Rao,27,2,0
581,1744,Nirmala Naik,27,2,0
582,1747,Ratna Bhat,40,2,0
583,1748,Nagaraj Iyer,32,1,0
584,1752,Jayashree Urs,42,2,0
585,1753,Raghavendra Iyer,23,1,0
586,1753,Vani Hegde,38,2,0
587,1757,Lakshmi Kulkarni,66,2,0
588,1758,Nirmala Hegde,65,2,0
589,1766,Manjula Naidu,18,2,0
590,1768,Rekha Fernandes,74,2,0
591,1771,Fathima Urs,67,2,0
592,1772,Fathima Achar,52,2,0
593,1774,Shwetha Khan,36,2,0
594,1780,Kamala Devaraj,27,2,0
595,1783,Ganesh Shetty,30,1,0
596,1786,Yashoda Desai,22,3,0
597,1792,Deepa Jadhav,26,2,0
598,1795,Kavya D'Souza,50,2,0
599,1798,Manjula Gowda,30,2,0
600,1801,Rekha Reddy,60,2,0
601,1805,Shwetha Nayak,34,2,0
602,1808,Pallavi Jadhav,29,2,0
603,1809,Xavier Patil,18,1,0
604,1811,Pushpa Reddy,70,2,0
605,1812,Nandini Achar,42,2,0
606,1817,Sunita Prabhu,15,2,0
607,1819,Savitri Prabhu,27,2,0
608,1825,Chandrashekar Hegde,59,1,0
609,1826,Savitri Reddy,89,2,0
610,1827,Ayesha Reddy,43,2,0
611,1829,Ayesha Kumar,52,2,0
612,1841,Ganesh Kumar,44,1,0
613,1842,Anand Devaraj,54,1,0
614,1843,Umesh Iyer,44,1,0
615,1845,Ayesha Urs,43,2,0
616,1854,John Pinto,34,1,0
617,1858,Fathima Reddy,20,2,0
618,1860,Fathima Jadhav,49,2,0
619,1862,Kiran Bhat,44,1,0
620,1863,Ratna Bhat,68,2,0
621,1865,Nagaraj Gowda,23,1,0
622,1867,Ayesha Pinto,88,2,0
623,1870,Puttaswamy Iyer,19,1,0
624,1871,Kavya Rao,46,2,0
625,1871,Bhagya Iyer,15,2,0
626,1871,Vani Khan,30,2,0
627,1876,Gopal Kulkarni,81,1,0
628,1878,Muniraju Khan,38,1,0
629,1879,Kamala Fernandes,26,2,0
630,1880,Manjunath Achar,41,1,0
631,1881,Kamala Desai,21,2,0
632,1882,Umesh Hegde,42,1,0
633,1883,Nandini Setty,39,2,0
634,1886,Chandrashekar Urs,31,1,0
635,1887,Deepa Hegde,29,2,0
636,1888,Radha Patil,32,2,0
637,1893,Nandini Rao,18,2,0
638,1894,Lakshmi Urs,18,2,0
639,1895,Sheela Khan,33,2,0
640,1896,Chandrashekar Setty,95,1,0
641,1897,Bhagya Achar,39,2,0
642,1898,Xavier D'Souza,30,1,0
643,1899,Jayashree Hegde,32,2,0
644,1901,Arjun Setty,24,1,0
645,1909,Prakash Rao,22,1,0
646,1911,Sheela Sheikh,34,2,0
647,1912,Nagaveni D'Souza,95,2,0
648,1916,Kavya Kumar,31,2,0
649,1923,Zainab Bhandari,28,2,0
650,1924,Manjula Hegde,40,2,0
651,1928,Joseph Fernandes,26,1,0
652,1930,Rajesh Kumar,15,1,0
653,1931,Pallavi Naidu,46,2,0
654,1937,Roopa Achar,26,2,0
655,1938,Nagaveni Bhat,51,2,0
656,1944,Shwetha Prabhu,45,2,0
657,1946,Arjun Fernandes,65,1,0
658,1949,Basavaraj Sheikh,36,1,0
659,1951,Sowmya Khan,39,2,0
660,1952,Kamala Naik,22,2,0
661,1953,Arjun Kulkarni,26,1,0
662,1955,Yashoda D'Souza,35,2,0
663,1960,Kamala Naidu,61,2,0
664,1963,Sunita Hiremath,39,2,0
665,1964,Nagaveni D'Souza,30,2,0
666,1967,Ravi Naidu,23,1,0
667,1982,Nandini Prabhu,29,2,0
668,1985,Savitri Rao,44,2,0
669,1986,Mary Iyer,39,2,0
670,1990,Manjula Reddy,66,2,0
671,1994,Ayesha Hegde,38,2,0
672,1997,Manjula Gowda,21,2,1
673,1999,Kavya Achar,22,2,0
674,2002,Zainab Shetty,36,2,0
675,2003,Mary Kumar,70,2,0
676,2007,Manjula Reddy,67,2,0
677,2010,Nandini Kumar,14,2,0
678,2014,Geetha D'Souza,48,2,0
679,2016,Fathima Devaraj,11,2,0
680,2017,Geetha Setty,34,2,0
681,2021,Pallavi Achar,25,2,0
682,2022,Karan Rao,52,1,0
683,2023,Jayashree Hegde,33,2,0
684,2025,Salman Kamath,24,1,0
685,2027,Srinivas Reddy,52,1,0
686,2029,Manoj Kamath,23,1,0
687,2030,Vijay Fernandes,50,1,0
688,2031,Jayashree Kumar,33,2,0
689,2036,Vani Poojary,67,2,0
690,2037,Basavaraj Devaraj,23,1,0
691,2039,Gopal Hiremath,37,1,0
692,2040,Bhagya Jadhav,55,2,0
693,2047,Ratna Sheikh,34,2,0
694,2049,Manjula Setty,59,2,0
695,2051,Radha Hegde,16,2,0
696,2052,Abdul Hegde,10,1,0
697,2055,Yogesh Bhat,31,1,0
698,2056,Naveen Shetty,23,1,0
