AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
52,44,Pallavi Setty,42,F,A1
53,44,Sandeep Bhat,29,M,A2
54,46,Imran Kulkarni,19,M,A1
55,47,Xavier Devaraj,40,M,A1
56,48,Halappa D'Souza,65,M,A1
57,49,Kiran Kulkarni,21,M,A1
58,50,Ravi Gowda,28,M,A1
59,51,Geetha Prabhu,17,F,A1
60,52,Rekha Poojary,18,F,A1
61,54,Joseph Shetty,45,M,A1
62,54,Yogesh Jadhav,61,M,A2
63,55,Muniraju Nayak,21,M,A1
64,55,Ayesha Kumar,36,F,A2
65,55,Mahesh Bhat,19,M,A3
66,56,Vijay Shetty,36,M,A1
67,57,Kavya Setty,25,F,A1
68,58,Muniraju Kamath,28,M,A1
69,59,Suresh Bhat,51,M,A1
70,60,Kavya Prabhu,30,F,A1
71,60,Pushpa Nayak,37,F,A2
72,61,Puttaswamy Hiremath,38,M,A1
73,62,Anthony Devaraj,41,M,A1
74,62,Gopal Kumar,51,M,A2
75,63,Zainab Poojary,71,F,A1
76,64,Prakash Bhandari,28,M,A1
77,64,Ayesha Gowda,27,F,A2
78,64,Mary Fernandes,23,F,A3
79,67,Girish Prabhu,19,M,A1
80,68,Shwetha Fernandes,28,F,A1
81,68,Kamala Kulkarni,33,F,A2
82,69,Deepa Devaraj,30,F,A1
83,70,Raghavendra Pinto,18,M,A1
84,71,Roopa Naik,86,F,A1
85,73,Manjula Urs,23,T,A1
86,74,Pushpa Reddy,22,F,A1
87,76,Srinivas Fernandes,13,M,A1
88,77,Sowmya Fernandes,30,F,A1
89,78,Manjula Hiremath,28,F,A1
90,79,Chandrashekar Naidu,34,M,A1
91,80,Channabasappa Setty,45,M,A1
92,80,Manjula Hiremath,41,F,A2
93,80,Rekha Devaraj,27,F,A3
94,82,Pushpa Rao,57,F,A1
95,82,John Reddy,26,M,A2
96,82,Kamala Sheikh,25,F,A3
97,84,Harish Prabhu,35,M,A1
98,85,Shwetha Naik,34,F,A1
99,85,Manoj Gowda,40,M,A2
100,85,Ashok Nayak,26,M,A3
101,86,Nagaveni Hegde,56,F,A1
102,86,Kiran Urs,95,M,A2
103,86,Pushpa D'Souza,28,F,A3
104,87,Yusuf Reddy,16,M,A1
105,88,John Rao,17,M,A1
106,89,Pushpa Poojary,23,F,A1
107,90,Anand Kamath,27,M,A1
108,90,Shivakumar Fernandes,20,M,A2
109,91,Sowmya Pinto,16,F,A1
110,92,Yashoda Poojary,36,F,A1
111,94,Ayesha Bhat,35,F,A1
112,94,Ayesha Jadhav,23,F,A2
113,94,Rajesh Patil,17,M,A3
114,94,Vani Patil,29,F,A4
115,95,Pradeep Reddy,19,M,A1
116,95,Srinivas Kulkarni,57,M,A2
117,96,Dinesh Patil,30,M,A1
118,97,Sunita Reddy,20,F,A1
119,98,Nandini Bhandari,34,F,A1
120,99,Savitri D'Souza,24,F,A1
121,100,Anitha Naik,26,F,A1
122,101,Girish Kulkarni,37,M,A1
123,102,Deepak Kumar,17,M,A1
124,102,Kamala Desai,23,F,A2
125,103,Salman Naidu,33,M,A1
126,104,Ravi Pinto,27,M,A1
127,104,Channabasappa Kumar,26,M,A2
128,104,Krishna Reddy,33,M,A3
129,104,Jayashree Shetty,33,F,A4
130,105,Xavier Hiremath,29,M,A1
131,105,Pradeep Naik,31,M,A2
132,105,Sandeep Shetty,95,M,A3
133,106,Ganesh Desai,62,M,A1
134,107,Vinay Kamath,29,M,A1
135,108,Yogesh Naidu,75,M,A1
136,108,Anitha Rao,32,F,A2
137,109,Dinesh Nayak,25,M,A1
138,110,Kamala Nayak,19,F,A1
139,111,Rekha Sheikh,35,F,A1
140,112,Yashoda Shetty,29,F,A1
141,112,John Urs,20,M,A2
142,112,Anitha Hegde,38,F,A3
143,112,Abdul Jadhav,28,M,A4
144,113,Deepa Prabhu,40,F,A1
145,114,Savitri Poojary,28,F,A1
146,114,Nagaveni Gowda,40,F,A2
147,115,Sheela Achar,26,F,A1
148,115,Zainab Kulkarni,34,F,A2
149,115,Xavier Nayak,29,M,A3
150,116,Rajesh Jadhav,64,M,A1
151,117,Deepa Kulkarni,35,F,A1
152,118,Kavya Pinto,33,F,A1
153,119,Savitri Prabhu,39,F,A1
154,120,Xavier Patil,47,M,A1
155,121,Yogesh Reddy,21,M,A1
156,124,Ravi D'Souza,23,M,A1
157,124,Ayesha Rao,32,F,A2
158,124,Geetha Setty,31,F,A3
159,125,Savitri Setty,21,F,A1
160,125,Srinivas Sheikh,19,M,A2
161,125,Suresh Reddy,28,M,A3
162,126,Geetha Achar,25,F,A1
163,128,Ayesha Pinto,55,F,A1
164,129,Ratna Jadhav,63,F,A1
165,130,Yashoda Iyer,39,F,A1
166,131,Rajesh Desai,16,M,A1
167,132,Shobha Fernandes,28,F,A1
168,133,Joseph Urs,26,M,A1
169,133,Santosh Desai,32,M,A2
170,134,Manjunath Pinto,44,M,A1
171,134,Yashoda Urs,36,F,A2
172,135,Sandeep Reddy,38,M,A1
173,136,Nagaveni Reddy,20,F,A1
174,137,Harish Achar,32,M,A1
175,138,Nagaraj Poojary,39,M,A1
176,138,Channabasappa Reddy,41,M,A2
177,139,Lakshmi Naik,26,F,A1
178,139,Sowmya Urs,20,F,A2
179,139,Puttaswamy Hegde,17,M,A3
180,140,Bhagya Bhat,23,F,A1
181,141,Jayashree Hegde,50,F,A1
182,141,Xavier Reddy,41,M,A2
183,142,Joseph Reddy,38,M,A1
184,143,Pallavi Bhat,31,F,A1
185,144,Anand Bhandari,63,M,A1
186,145,Rekha Naik,66,F,A1
187,147,Kiran Naidu,40,M,A1
188,148,Umesh Reddy,32,M,A1
189,148,Kavya Iyer,26,F,A2
190,148,Imran Achar,27,M,A3
191,148,Yusuf Reddy,40,M,A4
192,148,Shobha Kumar,31,F,A5
193,150,Geetha Kamath,83,F,A1
194,151,Imran Fernandes,26,M,A1
195,152,Suresh Achar,32,M,A1
196,152,Joseph Nayak,23,M,A2
197,153,Anitha Nayak,20,F,A1
198,153,Mary Hiremath,34,F,A2
199,154,Muniraju Patil,25,M,A1
200,155,Sheela Desai,27,F,A1
201,155,Joseph D'Souza,18,M,A2
202,155,Lokesh Urs,33,M,A3
203,155,Ramesh D'Souza,33,M,A4
204,156,Srinivas Patil,27,M,A1
205,158,Ratna Shetty,27,F,A1
206,159,Nagaveni Shetty,60,F,A1
207,160,Sunita Sheikh,20,F,A1
208,161,Joseph Desai,27,M,A1
209,161,Deepak Reddy,37,M,A2
210,161,Joseph Prabhu,30,M,A3
211,162,Ashok Reddy,50,M,A1
212,163,Fathima Poojary,32,F,A1
213,164,Bhagya Hiremath,25,F,A1
214,164,Ayesha Reddy,25,F,A2
215,166,Mahesh Pinto,28,M,A1
216,167,Channabasappa D'Souza,18,M,A1
217,168,Basavaraj Fernandes,30,M,A1
218,169,Raghavendra Iyer,20,M,A1
219,169,Yashoda Urs,32,F,A2
220,170,Sheela Bhandari,21,F,A1
221,171,Anthony Jadhav,33,M,A1
222,171,Lakshmi Setty,48,F,A2
223,171,Karan Bhandari,43,M,A3
224,172,Shivakumar Achar,40,M,A1
225,173,Shobha Kulkarni,23,F,A1
226,175,Fathima Iyer,43,F,A1
227,176,Pushpa Naidu,34,F,A1
228,176,Ganesh Urs,22,M,A2
229,177,Sheela Urs,40,F,A1
230,177,Anitha Naidu,30,F,A2
231,178,Ayesha Bhat,72,F,A1
232,178,Manjula Achar,11,F,A2
233,178,Lakshmi Achar,21,F,A3
234,178,Geetha Pinto,42,F,A4
235,179,John Setty,34,M,A1
236,180,Sheela Achar,24,F,A1
237,180,Deepak Reddy,50,M,A2
238,181,Arjun Kamath,24,M,A1
239,182,Imran Gowda,35,M,A1
240,182,Ravi Urs,16,M,A2
241,182,Kiran Urs,32,M,A3
242,183,Lokesh Jadhav,25,M,A1
243,184,Mahesh Hegde,22,M,A1
244,185,Kavya Rao,59,F,A1
245,187,Nagaraj Shetty,23,M,A1
246,187,Sheela Hiremath,24,F,A2
247,188,Puttaswamy Urs,29,M,A1
248,189,Chandrashekar Desai,11,M,A1
249,191,Basavaraj Urs,46,M,A1
250,192,Ganesh Naidu,47,M,A1
251,193,Sheela Bhat,35,F,A1
252,193,Vijay Jadhav,33,M,A2
253,194,Manjula Khan,35,T,A1
254,195,Joseph Rao,25,M,A1
255,198,Lakshmi Kamath,19,F,A1
256,198,Nagaraj Desai,56,M,A2
257,199,Sunita Achar,37,F,A1
258,200,Kamala Jadhav,25,F,A1
259,201,Sandeep Desai,77,M,A1
260,202,Muniraju Patil,33,M,A1
261,202,Ratna Desai,36,F,A2
262,204,Mahesh Bhandari,8,M,A1
263,205,Kamala Sheikh,27,F,A1
264,205,Abdul Kamath,29,M,A2
265,206,Pushpa Nayak,29,F,A1
266,207,Channabasappa Rao,36,M,A1
267,207,Roopa Reddy,22,T,A2
268,208,Abdul Naik,39,M,A1
269,209,Anitha Bhandari,24,F,A1
270,209,Yusuf D'Souza,28,M,A2
271,210,Geetha Achar,23,F,A1
272,211,Mary Sheikh,19,F,A1
273,212,Fathima Naik,73,F,A1
274,213,Anthony Reddy,28,M,A1
275,213,Arjun Patil,18,M,A2
276,214,Mahesh Reddy,25,M,A1
277,215,Lakshmi Naidu,16,F,A1
278,215,Karan Urs,36,M,A2
279,215,Fathima Shetty,31,F,A3
280,215,Chandrashekar Bhat,33,M,A4
281,216,Kiran Kamath,27,M,A1
282,217,Prakash Bhandari,24,M,A1
283,218,Pradeep Kumar,30,M,A1
284,220,Anitha Desai,30,F,A1
285,220,Kiran Patil,19,M,A2
286,221,Karan Jadhav,25,M,A1
287,222,Ratna Patil,38,F,A1
288,223,Sowmya Prabhu,95,F,A1
289,223,Lakshmi Desai,45,F,A2
290,225,Sheela Rao,27,F,A1
291,225,Ravi Rao,39,M,A2
292,226,Shivakumar Naidu,33,M,A1
293,227,Kamala Naik,22,F,A1
294,229,Naveen Desai,59,M,A1
295,230,Bhagya Naidu,30,F,A1
296,231,Harish Gowda,35,M,A1
297,232,Deepa Bhat,26,F,A1
298,233,Geetha Prabhu,38,F,A1
299,234,Abdul Desai,34,M,A1
300,235,Channabasappa Naik,27,M,A1
301,236,Ashok Fernandes,18,M,A1
302,237,Vani Fernandes,24,F,A1
303,237,Pushpa Sheikh,17,F,A2
304,238,Shwetha Desai,16,F,A1
305,238,Geetha Jadhav,69,F,A2
306,239,Kamala Poojary,28,F,A1
307,240,Suresh Jadhav,69,M,A1
308,241,Muniraju Setty,76,M,A1
309,242,Nagaraj Jadhav,47,M,A1
310,243,Shivakumar Achar,49,M,A1
311,244,Roopa Prabhu,36,F,A1
312,245,Kiran Rao,31,M,A1
313,246,Manoj Kumar,30,M,A1
314,247,Ashok Nayak,31,M,A1
315,248,Karan Gowda,24,M,A1
316,249,Pallavi Reddy,39,F,A1
317,250,Zainab Reddy,35,F,A1
318,250,Vani Kumar,24,F,A2
319,251,Vinay Poojary,25,M,A1
320,251,Zainab Hiremath,22,F,A2
321,251,Shivakumar Iyer,14,M,A3
322,253,Kavya Achar,44,F,A1
323,253,Shobha Bhat,23,F,A2
324,254,Shwetha Poojary,46,F,A1
325,255,Nagaveni Gowda,40,F,A1
326,255,Byrappa Bhat,33,M,A2
327,255,Shobha Setty,19,F,A3
328,256,Fathima Khan,40,F,A1
329,258,Ibrahim Shetty,30,M,A1
330,258,Anitha Nayak,34,F,A2
331,258,Bhagya Nayak,29,F,A3
332,259,Kamala Kamath,26,F,A1
333,260,Pallavi Kamath,15,F,A1
334,260,John Naidu,54,M,A2
335,261,Arjun Naidu,29,M,A1
336,261,Bhagya Patil,30,F,A2
337,263,Geetha Desai,27,F,A1
338,265,Pallavi Bhandari,26,F,A1
339,266,Ayesha Setty,41,F,A1
340,269,Nandini Hegde,40,F,A1
341,270,Nirmala Pinto,13,F,A1
342,271,Ratna Prabhu,3,F,A1
343,272,Vani Shetty,28,F,A1
344,273,Nagaraj Iyer,30,M,A1
345,273,John Urs,35,M,A2
346,274,Krishna Bhandari,44,M,A1
347,275,Savitri Kamath,28,F,A1
348,276,Ashok Fernandes,50,M,A1
349,276,Pushpa Urs,21,F,A2
350,276,Deepa Urs,29,F,A3
351,276,Xavier Prabhu,31,M,A4
352,278,Bhagya Khan,53,F,A1
353,280,Shwetha Gowda,30,F,A1
354,281,Yashoda D'Souza,41,F,A1
355,281,Kiran Jadhav,43,M,A2
356,282,Fathima Achar,27,F,A1
357,282,Rajesh Poojary,17,M,A2
358,282,Nagaveni Naidu,24,F,A3
359,283,Rekha Bhat,35,F,A1
360,284,Ratna Kulkarni,17,F,A1
361,285,Yogesh Prabhu,44,M,A1
362,286,Xavier Naik,30,M,A1
363,287,Naveen Bhandari,20,M,A1
364,288,Gopal Reddy,41,M,A1
365,288,Krishna Sheikh,26,M,A2
366,289,Srinivas Hegde,21,M,A1
367,289,Nirmala D'Souza,38,F,A2
368,291,Ibrahim Desai,30,M,A1
369,292,Bhagya Devaraj,17,F,A1
370,293,Ayesha Kumar,37,F,A1
371,293,Suresh Naidu,61,M,A2
372,294,Puttaswamy Devaraj,38,M,A1
373,295,Nirmala Reddy,22,F,A1
374,297,Shivakumar Kumar,64,M,A1
375,298,Xavier Rao,37,M,A1
376,301,Bhagya Reddy,40,F,A1
377,302,Pallavi Kulkarni,31,F,A1
378,302,Kiran Kumar,32,M,A2
379,302,Ravi Nayak,17,M,A3
380,302,Harish Reddy,40,M,A4
381,303,Jayashree Fernandes,14,F,A1
382,304,Manjula Khan,26,F,A1
383,304,Vinay Poojary,35,M,A2
384,304,Ramesh Kumar,26,M,A3
385,304,Salman Sheikh,31,M,A4
386,305,Kamala Patil,53,F,A1
387,305,Lakshmi Hegde,29,F,A2
388,306,Manjula Khan,35,F,A1
389,306,Umesh Nayak,34,M,A2
390,306,John Kulkarni,34,M,A3
391,309,Anitha Iyer,95,F,A1
392,309,Harish Kumar,31,M,A2
393,310,Ratna Devaraj,26,F,A1
394,311,Sheela Kamath,27,F,A1
395,312,Zainab Hegde,79,F,A1
396,313,Dinesh Kumar,30,M,A1
397,314,Harish Rao,74,M,A1
398,315,Lakshmi Fernandes,37,F,A1
399,315,Xavier Shetty,36,M,A2
400,315,Radha Reddy,57,F,A3
401,316,Halappa Kumar,22,M,A1
402,317,Harish Devaraj,44,M,A1
403,317,Kavya Iyer,50,F,A2
404,318,Rajesh Hiremath,16,M,A1
405,320,Puttaswamy D'Souza,43,M,A1
406,321,Ibrahim Jadhav,14,M,A1
407,323,Srinivas Desai,33,M,A1
408,324,Dinesh Reddy,79,M,A1
409,325,Roopa Shetty,52,F,A1
410,325,Nandini Poojary,29,F,A2
411,325,Shobha Poojary,22,F,A3
412,326,Roopa Hegde,30,F,A1
413,326,Rekha Iyer,62,F,A2
414,326,Nagaraj Prabhu,53,M,A3
415,327,Zainab Poojary,55,F,A1
416,327,Savitri Patil,16,F,A2
417,330,Chandrashekar Shetty,38,M,A1
418,330,Basavaraj Sheikh,39,M,A2
419,331,Suresh Jadhav,43,M,A1
420,331,Ratna Pinto,48,F,A2
421,332,Deepa Hegde,21,F,A1
422,333,Manjula Khan,26,F,A1
423,334,Chandrashekar Poojary,33,M,A1
424,335,Nagaraj Reddy,32,M,A1
425,336,Deepak Reddy,45,M,A1
426,337,Anthony Devaraj,52,M,A1
427,338,Srinivas Jadhav,31,M,A1
428,339,Jayashree Setty,53,F,A1
429,340,Salman Prabhu,29,M,A1
430,340,Suresh Naik,27,M,A2
431,341,Sheela Reddy,53,F,A1
432,343,Rajesh Urs,39,M,A1
433,344,Sowmya Iyer,16,F,A1
434,344,Shobha Naik,36,F,A2
435,345,Rekha Poojary,20,F,A1
436,347,Dinesh Kumar,35,M,A1
437,348,Manjula Fernandes,25,F,A1
438,348,Channabasappa Prabhu,20,M,A2
439,349,Mary Poojary,47,F,A1
440,350,Harish Patil,29,M,A1
441,351,Raghavendra Bhat,87,M,A1
442,351,Sowmya Jadhav,47,F,A2
443,351,Kavya Kumar,57,F,A3
444,351,Karan Gowda,12,M,A4
445,353,Zainab Reddy,33,F,A1
446,355,Shwetha Jadhav,21,F,A1
447,358,Shobha Naidu,37,F,A1
448,358,Lokesh Urs,32,M,A2
449,358,Abdul Hiremath,27,M,A3
450,359,Channabasappa Desai,57,M,A1
451,359,Muniraju Setty,30,M,A2
452,361,Anitha Poojary,22,F,A1
453,361,Suresh Fernandes,21,M,A2
454,362,Mahesh Bhat,22,M,A1
455,363,Savitri Hegde,29,F,A1
456,363,Nandini Rao,36,F,A2
457,363,Kavya Devaraj,32,F,A3
458,363,Yogesh Prabhu,24,M,A4
459,364,Girish Khan,19,M,A1
460,365,Puttaswamy Hegde,31,M,A1
461,365,Bhagya Kamath,24,F,A2
462,366,Sheela Kulkarni,17,F,A1
463,366,Harish Reddy,40,M,A2
464,366,Ashok Hegde,30,M,A3
465,366,Umesh Kumar,40,M,A4
466,367,Deepa Naidu,71,F,A1
467,367,Arjun Hegde,78,M,A2
468,368,Prakash Jadhav,23,M,A1
469,370,Suresh Iyer,20,M,A1
470,370,Suresh Poojary,32,M,A2
471,371,Radha Reddy,27,F,A1
472,372,Dinesh Kulkarni,23,M,A1
473,372,Roopa Sheikh,31,F,A2
474,373,Anitha Hegde,28,F,A1
475,373,Ratna Pinto,19,F,A2
476,374,Joseph Poojary,30,M,A1
477,375,Yashoda Naidu,14,F,A1
478,376,Nagaveni Hiremath,19,F,A1
479,377,Krishna Prabhu,46,M,A1
480,377,Shwetha Kumar,47,F,A2
481,378,Savitri Reddy,21,F,A1
482,378,Sheela Jadhav,26,F,A2
483,379,Arjun Naidu,29,M,A1
484,379,Prakash Pinto,50,M,A2
485,379,Ibrahim Kulkarni,38,M,A3
486,379,Nagaveni Hiremath,40,F,A4
487,380,Ratna Fernandes,27,F,A1
488,380,Radha Urs,29,F,A2
489,380,Rekha Fernandes,28,F,A3
490,380,Salman Fernandes,37,M,A4
491,381,Savitri Sheikh,45,T,A1
492,381,Gopal Naidu,32,M,A2
493,382,Kamala Jadhav,67,F,A1
494,383,Deepak Kumar,34,M,A1
495,383,Sunita Prabhu,28,F,A2
496,384,Yusuf Fernandes,14,M,A1
497,384,Ramesh Sheikh,21,M,A2
498,384,Ayesha Hiremath,54,F,A3
499,384,Manjunath Poojary,45,M,A4
500,385,Shwetha Fernandes,38,F,A1
501,385,Nandini Naidu,44,F,A2
502,386,Ayesha D'Souza,17,F,A1
503,387,Jayashree Naidu,35,F,A1
504,387,Nirmala Reddy,33,F,A2
505,388,Yashoda Bhat,34,F,A1
506,388,Byrappa Prabhu,41,M,A2
507,389,Srinivas Khan,27,M,A1
508,390,Suresh Urs,25,M,A1
509,391,Sheela Fernandes,33,F,A1
510,391,Lokesh Reddy,41,M,A2
511,392,Anitha Desai,19,F,A1
512,392,Yashoda Shetty,34,F,A2
513,392,Dinesh Hiremath,17,M,A3
514,394,Pushpa Naidu,29,F,A1
515,394,Deepak Reddy,16,M,A2
516,395,Raghavendra Bhat,16,M,A1
517,396,Kamala Desai,19,F,A1
518,397,Yusuf Poojary,40,M,A1
519,397,Shobha Kumar,31,F,A2
520,399,Anitha Sheikh,48,F,A1
521,400,Zainab Hegde,21,F,A1
522,401,Yogesh Desai,34,M,A1
523,401,Gopal Kamath,40,M,A2
524,401,Byrappa Kamath,37,M,A3
525,401,Ayesha Setty,34,F,A4
526,403,Ramesh Naik,34,M,A1
527,403,Zainab Reddy,22,F,A2
528,403,Ayesha Kamath,32,F,A3
529,404,Nagaraj Hiremath,45,M,A1
530,404,Salman Achar,9,M,A2
531,406,Sheela Kamath,31,F,A1
532,406,Shwetha Desai,38,F,A2
533,407,Vinay Rao,18,M,A1
534,408,Nagaraj Urs,71,M,A1
535,410,Anand Urs,34,M,A1
536,412,Halappa Bhat,38,M,A1
537,413,Puttaswamy Rao,47,M,A1
538,413,Sowmya Hegde,43,F,A2
539,414,Geetha Kumar,32,F,A1
540,415,Ratna Sheikh,20,F,A1
541,416,Girish Poojary,19,M,A1
542,418,Zainab Naik,34,F,A1
543,418,Joseph Kulkarni,38,M,A2
544,419,Ibrahim Setty,22,M,A1
545,420,Sheela Prabhu,35,F,A1
546,420,Savitri Poojary,21,F,A2
547,421,Rajesh Naidu,17,M,A1
548,422,Yogesh Nayak,22,M,A1
549,422,Kamala Nayak,21,F,A2
550,423,Sandeep Naidu,66,M,A1
551,423,Karan Shetty,18,M,A2
552,424,Karan Naik,8,M,A1
553,425,Prakash Patil,24,M,A1
554,426,Nagaveni Kamath,16,F,A1
555,427,Fathima Bhat,40,F,A1
556,427,Mary Bhat,25,F,A2
557,427,Zainab Iyer,31,F,A3
558,427,Savitri Prabhu,16,F,A4
559,428,Imran Jadhav,32,M,A1
560,429,Sunita Iyer,24,F,A1
561,431,Umesh D'Souza,35,M,A1
562,432,Bhagya Bhandari,95,F,A1
563,432,Vani Naik,31,F,A2
564,433,Sunita Patil,31,F,A1
565,434,Chandrashekar Jadhav,35,M,A1
566,435,Zainab Hegde,28,F,A1
567,436,Kamala Rao,32,F,A1
568,436,Ayesha Kulkarni,35,F,A2
569,436,Lakshmi Poojary,50,F,A3
570,437,Vani Nayak,36,F,A1
571,437,Puttaswamy Gowda,27,M,A2
572,437,Manoj Prabhu,22,M,A3
573,437,Lokesh Achar,28,M,A4
574,437,Chandrashekar Poojary,20,M,A5
575,438,Abdul Rao,37,M,A1
576,439,Abdul Poojary,31,M,A1
577,440,Rajesh Gowda,21,M,A1
578,441,Muniraju Achar,36,M,A1
579,441,Shivakumar Achar,21,M,A2
580,442,Zainab Prabhu,49,F,A1
581,444,Kiran Kulkarni,38,M,A1
582,445,Yogesh Devaraj,49,M,A1
583,445,Sheela Shetty,17,F,A2
584,446,Kavya Devaraj,52,F,A1
585,447,Shobha Hiremath,11,F,A1
586,448,Sandeep Sheikh,23,M,A1
587,448,Ratna Setty,40,F,A2
588,449,Joseph Shetty,34,M,A1
589,450,Geetha Reddy,18,F,A1
590,451,Channabasappa Kamath,30,M,A1
591,452,Roopa Nayak,29,F,A1
592,453,Harish Fernandes,15,M,A1
593,454,Gopal Bhat,39,M,A1
594,456,Manjula Bhat,32,F,A1
595,457,Kiran Naik,35,M,A1
596,458,Anthony Sheikh,16,M,A1
597,459,Nagaveni Urs,40,F,A1
598,459,Krishna Achar,19,M,A2
599,460,Sheela Hegde,42,F,A1
600,461,Raghavendra Patil,24,M,A1
601,461,Zainab Nayak,21,F,A2
602,462,Ratna Setty,23,F,A1
603,463,Suresh Prabhu,21,M,A1
604,464,Manjunath Reddy,33,M,A1
605,464,Radha Desai,26,F,A2
606,465,Savitri D'Souza,35,F,A1
607,465,Manjula Pinto,41,F,A2
608,466,Shobha Achar,37,F,A1
609,466,Nandini Achar,53,F,A2
610,468,Kavya Pinto,30,F,A1
611,468,Suresh Setty,19,M,A2
612,469,Anitha Iyer,28,F,A1
613,471,Nagaveni Jadhav,11,F,A1
614,472,Nagaveni D'Souza,35,F,A1
615,473,Krishna Hiremath,30,M,A1
616,475,Vinay Rao,30,M,A1
617,476,Manjunath Hiremath,18,M,A1
618,477,Krishna Bhat,33,M,A1
619,478,Vani Hiremath,34,F,A1
620,479,Vani Naik,39,F,A1
621,479,Roopa Reddy,22,F,A2
622,480,Sowmya D'Souza,67,F,A1
623,480,Fathima Fernandes,67,F,A2
624,481,Yashoda Kulkarni,48,F,A1
625,481,Raghavendra Iyer,24,M,A2
626,483,Ibrahim Patil,29,M,A1
627,484,Dinesh Kumar,48,M,A1
628,486,Shobha Achar,35,F,A1
629,486,Yusuf Naidu,30,M,A2
630,487,Arjun Jadhav,34,M,A1
631,488,Salman Khan,24,M,A1
632,489,Manoj Pinto,54,M,A1
633,489,Salman Prabhu,49,M,A2
634,489,Ayesha Achar,39,F,A3
635,490,Nagaveni Rao,39,F,A1
636,491,Basavaraj Hiremath,40,M,A1
637,491,Ramesh Devaraj,39,M,A2
638,492,Ramesh Kumar,22,M,A1
639,492,Chandrashekar D'Souza,20,M,A2
640,492,Halappa Poojary,16,M,A3
641,492,Vijay Hegde,16,M,A4
642,493,Ganesh D'Souza,37,M,A1
643,494,Vani Reddy,42,F,A1
644,495,Savitri Iyer,30,F,A1
645,496,Anthony D'Souza,69,M,A1
646,497,Sowmya Devaraj,11,F,A1
647,498,Puttaswamy Nayak,69,M,A1
648,499,Ayesha Bhandari,65,F,A1
649,499,Ayesha Sheikh,15,F,A2
650,500,Geetha Shetty,44,F,A1
651,502,Sowmya Khan,89,F,A1
652,503,Ratna Desai,29,F,A1
653,504,Yashoda Pinto,39,F,A1
654,505,Pallavi Hiremath,53,F,A1
655,506,Yusuf Bhat,23,M,A1
656,506,Shwetha Hegde,53,F,A2
657,507,Manjula Fernandes,18,F,A1
658,508,Nagaveni Sheikh,39,F,A1
659,509,Zainab Hiremath,39,F,A1
660,509,Manjula Naik,67,F,A2
661,510,Pallavi Bhandari,60,F,A1
662,511,Manjunath Prabhu,17,M,A1
663,511,Santosh Reddy,32,M,A2
664,512,Nandini Kumar,39,F,A1
665,513,Vani Khan,32,F,A1
666,514,Fathima Reddy,39,F,A1
667,515,Radha Urs,24,F,A1
668,516,Imran Urs,35,M,A1
669,517,Radha Sheikh,22,F,A1
670,518,Lokesh Setty,18,M,A1
671,518,Shobha Gowda,27,F,A2
672,518,Geetha Bhat,28,F,A3
673,518,Deepa Poojary,30,F,A4
674,519,Roopa Rao,37,F,A1
675,519,Channabasappa Hiremath,19,M,A2
676,520,Nirmala Bhat,38,F,A1
677,520,Jayashree Achar,40,F,A2
678,520,Zainab Reddy,24,F,A3
